,,,,Per Game,Per Game,Per Game,Per Game,,,,,Corsi (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Ice Time,Even Strength,Power Play,Scoring,Scoring,Goals,Goals,Scoring,Assists,Assists,Power Play,Power Play,Scoring
Player,Age,Tm,Pos,PTS,G,A,S,S,S%,SAtt.,Thru%,CF% rel,PDO,oZS%,dZS%,ATOI,TOI,TOI,GP,G,EV,PP,A,EV,PP,PPG/G,PPA/G,PTS
Stephane Robidas,33,DAL,D,0.37,0.06,0.31,1.31,106,4.7,255,41.6,2.1,99.7,43.7,56.3,24:32:00,1987,2:50,81,5,4,1,25,9,14,0.012,0.173,30
Tom Poti,33,WSH,D,0.33,0.1,0.24,0.95,20,10,40,50,-5.5,96.8,52.1,47.9,18:22,386,1:21,21,2,2,0,5,4,1,0,0.048,7
Toni Lydman,33,ANA,D,0.32,0.04,0.28,1.27,99,3,195,50.8,4.4,105,42.8,57.2,22:10,1729,0:36,78,3,3,0,22,20,2,0,0.026,25
Willie Mitchell,33,LAK,D,0.18,0.09,0.09,1.04,59,8.5,152,38.8,-3.4,100.7,45.4,54.6,21:49,1243,0:06,57,5,4,0,5,5,0,0,0,10
Zdeno Chara,33,BOS,D,0.54,0.17,0.37,3.26,264,5.3,490,53.9,4.3,102.7,46.6,53.4,25:26:00,2060,3:08,81,14,5,8,30,22,7,0.099,0.086,44
Brent Sopel,34,TOT,D,0.1,0.03,0.07,0.62,44,4.5,101,43.6,-7.7,102,47.8,52.2,16:21,1160,0:13,71,2,2,0,5,4,1,0,0.014,7
Brett Clark,34,TBL,D,0.38,0.11,0.27,1.06,87,10.3,209,41.6,1.8,99.8,46.7,53.3,18:53,1548,2:52,82,9,3,6,22,11,11,0.073,0.134,31
Chris Clark,34,CBJ,RW,0.28,0.09,0.19,1.57,83,6,137,60.6,-7.1,99.9,38.6,61.4,14:39,776,0:47,53,5,3,2,10,9,0,0.038,0,15
Chris Drury,34,NYR,C,0.21,0.04,0.17,1.08,26,3.8,55,47.3,-7,101.9,32.8,67.2,12:01,288,0:36,24,1,1,0,4,4,0,0,0,5
Dan Boyle,34,SJS,D,0.66,0.12,0.54,2.62,199,4.5,416,47.8,-1.7,99.9,50.1,49.9,26:14:00,1994,4:17,76,9,5,4,41,18,23,0.053,0.303,50
