,,,,Per Game,Per Game,Per Game,Per Game,,,,,Corsi (EV),PDO (EV),Zone Starts (EV),Zone Starts (EV),Ice Time,Even Strength,Power Play,Scoring,Scoring,Goals,Goals,Scoring,Assists,Assists,Power Play,Power Play,Scoring
Player,Age,Tm,Pos,PTS,G,A,S,S,S%,SAtt.,Thru%,CF% rel,PDO,oZS%,dZS%,ATOI,TOI,TOI,GP,G,EV,PP,A,EV,PP,PPG/G,PPA/G,PTS
Brad Hunt,27,EDM,D,0,0,0,1.71,12,0,26,46.2,0.8,97.3,68,32,14:11,11:37,2:31,7,0,0,0,0,0,0,0,0,0
Dustin Jeffrey,27,ARI,C,0.29,0.14,0.14,0.71,5,20,6,83.3,-6.3,117.5,50,50,11:24,10:15,1:09,7,1,1,0,1,1,0,0,0,2
Erik Johnson,27,COL,D,0.37,0.15,0.22,2.4,175,6.3,307,57,0.4,97.1,42.7,57.3,23:27,18:18,2:02,73,11,6,3,16,12,3,0.041,0.041,27
Steven Kampfer,27,FLA,D,0.09,0,0.09,1.15,54,0,98,55.1,-1.8,102.1,48.6,51.4,15:06,14:01,0:12,47,0,0,0,4,3,1,0,0.021,4
Patrick Kane,27,CHI,RW,1.29,0.56,0.73,3.5,287,16,461,62.3,3.3,101.9,68.5,31.5,20:25,17:14,3:07,82,46,29,17,60,40,20,0.207,0.244,106
Joonas Kemppainen,27,BOS,C,0.11,0.05,0.07,0.8,35,5.7,52,67.3,-8.4,98.2,44,56,12:32,10:46,0:08,44,2,1,0,3,3,0,0,0,5
Milan Lucic,27,LAK,LW,0.68,0.25,0.43,1.53,124,16.1,269,46.1,4.2,102,57.9,42.1,17:14,15:03,2:07,81,20,18,2,35,29,6,0.025,0.074,55
Brad Marchand,27,BOS,LW,0.79,0.48,0.31,3.25,250,14.8,393,63.1,8,100.3,47.4,52.6,18:36,15:07,1:28,77,37,27,6,24,20,2,0.078,0.026,61
Pat Maroon,27,TOT,LW,0.38,0.17,0.21,1.44,104,11.5,168,61.9,-1.5,99.2,59.6,40.4,12:20,10:47,1:32,72,12,7,5,15,12,3,0.069,0.042,27
Brandon Mashinter,27,CHI,LW,0.12,0.1,0.02,0.61,25,16,40,62.5,-7.6,97.2,47.9,52.1,7:30,7:27,0:01,41,4,4,0,1,1,0,0,0,5
Shawn Matthias,27,TOT,C,0.39,0.17,0.23,1.42,101,11.9,160,63.1,-0.8,97.8,52.5,47.5,13:31,11:53,0:32,71,12,12,0,16,15,0,0,0,28
Jamie McBain,27,LAK,D,0.2,0.05,0.16,0.73,32,6.3,78,41,1.8,100.1,68.1,31.9,12:14,11:12,0:56,44,2,1,1,7,2,5,0.023,0.114,9
Jamie McGinn,27,TOT,LW,0.46,0.26,0.2,1.86,156,14.1,244,63.9,0.6,99.2,47.2,52.8,14:18,11:52,2:24,84,22,13,9,17,14,3,0.107,0.036,39
Andrew Miller,27,EDM,C,0,0,0,0.5,3,0,4,75,-1.1,95.4,53.3,46.7,9:07,8:56,0:11,6,0,0,0,0,0,0,0,0,0
Jim O'Brien,27,NJD,C,0,0,0,0.75,3,0,5,60,-10.2,85.7,50,50,13:31,12:58,0:02,4,0,0,0,0,0,0,0,0,0
Brian O'Neill,27,NJD,C,0.81,0.28,0.53,2.56,14,0,24,58.3,-4.4,100.2,38.3,61.7,10:22,9:34,0:19,22,0,0,0,2,2,0,0,0,2
Kyle Okposo,27,NYI,RW,0.09,0,0.09,0.64,202,10.9,376,53.7,1.8,99.6,54.9,45.1,18:12,15:09,2:58,79,22,15,7,42,26,16,0.089,0.203,64
Max Pacioretty,27,MTL,LW,0.78,0.37,0.41,3.7,303,9.9,539,56.2,5.2,97.7,56.3,43.7,18:32,14:24,2:56,82,30,21,8,34,25,9,0.098,0.11,64
David Perron,27,TOT,LW,0.51,0.17,0.34,2.07,147,8.2,240,61.3,2,99,55.8,44.2,15:13,13:06,2:04,71,12,8,4,24,16,8,0.056,0.113,36
Michael Raffl,27,PHI,LW,0.38,0.16,0.22,1.61,132,9.8,239,55.2,4.7,101.5,52.8,47.2,14:18,12:56,1:17,82,13,12,1,18,17,1,0.012,0.012,31
Zach Redmond,27,COL,D,0.16,0.05,0.11,0.59,22,9.1,62,35.5,0.7,102.7,56.3,43.7,11:47,11:29,0:03,37,2,1,1,4,4,0,0.027,0,6
Kevin Shattenkirk,27,STL,D,0.61,0.19,0.42,2.5,180,7.8,350,51.4,1.2,97,53.5,46.5,22:25,17:43,2:46,72,14,8,6,30,9,20,0.083,0.278,44
